,Input,PID
375,0.0,-2.581541259371055
376,0.0,-1.5848965212702648
377,0.0,-0.6453604545651555
378,0.0,-1.1105338831915086
379,0.0,-0.38473988572959694
380,0.0,0.5694550675818544
381,0.0,1.723852970415166
382,0.0,0.41652951333679766
383,0.0,1.2284500567486223
384,0.0,0.940163310875711
385,0.0,0.5403034805219704
386,0.0,0.9558588472961258
387,0.0,0.4607777349042781
388,0.0,1.0887730979589847
389,0.0,0.36780478023425367
390,0.0,0.7548365197478102
391,0.0,0.4591132375103797
392,0.0,0.9868100273402458
393,0.0,0.7248511037057508
394,0.0,0.9123020168102265
395,0.0,0.53445454895094
396,0.0,0.9615637769443293
397,0.0,1.4157997968519336
398,0.0,0.29968303073024494
399,0.0,0.9647742335286651
400,0.0,0.889603679943896
401,0.0,0.9638743352454675
402,0.0,1.887387857033449
403,0.0,0.6830260273019135
404,0.0,1.8860224160889256
405,0.0,0.8479834428911737
406,0.0,1.387196444174096
407,0.0,1.0393790036367516
408,0.0,0.5209655121741736
409,0.0,2.1306434760933683
410,0.0,0.7625076094249542
411,-3.0,-0.30141118811833234
412,-3.0,-1.912805622313692
413,-3.0,-2.847880778996112
414,-3.0,-3.7324686153378495
415,-3.0,-3.019844354220236
416,-3.0,-4.116905719113281
417,-3.0,-4.265902130732838
418,-3.0,-3.4178305513050975
419,-3.0,-3.2408498405135298
420,-3.0,-3.0964640846539058
421,-3.0,-2.477308126471927
422,-3.0,-2.269653515420335
423,-3.0,-1.093681351295229
424,-3.0,-1.1440285472413012
425,-3.0,-2.0753536897764038
426,-3.0,-1.54788653248505
427,-3.0,-2.0674833114745983
428,-3.0,-3.0493863387410425
429,-3.0,-3.1550139677980718
430,-3.0,-3.0571661924710507
431,-3.0,-2.567292902852558
432,-3.0,-2.166266557969245
433,-3.0,-2.9110122617357
434,-3.0,-3.348710105778644
435,-3.0,-2.47480171148457
436,-3.0,-2.1012521494975127
437,-3.0,-2.1827532747181633
438,-3.0,-2.796664501585319
439,-3.0,-2.3143276213686415
440,-3.0,-3.284040489235915
441,-3.0,-2.358033563051966
442,-3.0,-3.1678106703447724
443,-3.0,-3.558715611084655
444,-3.0,-2.7041011942336954
445,-3.0,-2.985362520054452
446,-3.0,-2.790888973032532
447,-3.0,-2.483267284967648
448,-3.0,-2.8281105170518446
449,-3.0,-1.8365205336016173
450,-3.0,-3.655585676233597
451,-3.0,-1.992074140959836
452,-3.0,-3.0397452007473795
453,-3.0,-2.602772992503802
454,-3.0,-3.8767851973795935
455,-3.0,-2.7520440385408795
456,-3.0,-3.262869976351799
457,-3.0,-3.154970806186212
458,-3.0,-3.2749320743715287
